time_s,in0_v,in1_v
128.911577,1.359385,2.806453
129.107605,1.302216,2.872928
129.308622,1.231309,2.965284
129.510602,1.167303,3.027552
129.706563,1.107244,3.079987
129.906568,1.082226,3.120598
130.106580,1.059905,3.129561
130.306711,1.076865,3.110066
130.510617,1.105521,3.075240
130.707598,1.163354,3.024364
130.907589,1.220673,2.965635
131.106573,1.279473,2.903351
131.306682,1.339500,2.839214
131.509595,1.382498,2.781646
131.706570,1.428726,2.745043
137.222635,1.391631,2.764639
137.423625,1.340430,2.831642
137.624591,1.262354,2.917411
137.826584,1.182448,3.000045
138.022580,1.121063,3.071800
138.221588,1.078447,3.133159
138.422611,1.045941,3.150699
138.625612,1.048334,3.146286
138.821586,1.078334,3.089445
139.021604,1.131650,3.034385
139.221598,1.193931,2.970831
139.422617,1.277803,2.905618
139.625586,1.342848,2.825611
139.822570,1.399449,2.761177
140.022584,1.446192,2.720469
140.222572,1.458601,2.698722
140.422618,1.459235,2.695787
140.625704,1.430631,2.713201
146.130646,1.268452,2.916062
146.331661,1.220230,2.959891
146.532634,1.154842,3.035346
146.734604,1.111328,3.083842
146.930593,1.089086,3.110648
147.129594,1.087950,3.113400
147.330635,1.106641,3.082951
147.534616,1.146126,3.030063
147.730597,1.200518,2.985770
147.930612,1.262623,2.915397
148.130596,1.319585,2.847993
148.330644,1.379609,2.800785
148.534635,1.420305,2.761072
148.730605,1.428385,2.735186
148.930598,1.427682,2.731646
149.130629,1.409616,2.744963
149.330642,1.394463,2.787370
149.534616,1.346768,2.825368
155.043675,1.252056,2.945958
155.244628,1.220196,2.966027
155.450070,1.191868,2.996812
155.642634,1.181415,3.004458
155.844651,1.187978,3.024860
156.042811,1.184275,3.000702
156.242668,1.201782,2.977878
156.443668,1.233231,2.962164
156.643657,1.265722,2.934899
156.843634,1.288313,2.900642
157.043636,1.308647,2.866362
157.243660,1.328915,2.844188
157.443663,1.338933,2.839343
157.643677,1.339774,2.831167
157.843657,1.334118,2.844622
158.043664,1.322103,2.861628
158.243658,1.304057,2.881490
158.443687,1.275717,2.897962
163.958711,1.326762,2.879401
164.159707,1.296251,2.891324
164.361691,1.268212,2.912834
164.557684,1.238057,2.944668
164.759707,1.222243,2.970975
164.958705,1.208047,2.988897
165.158673,1.187779,2.993143
165.357701,1.193607,3.005387
165.557686,1.190190,2.993148
165.757699,1.210798,2.985773
165.957690,1.237501,2.972098
166.157667,1.253235,2.931719
166.357733,1.279268,2.902510
166.557680,1.306859,2.896206
166.757664,1.324010,2.878804
166.957689,1.341364,2.864560
167.157641,1.345104,2.871709
167.357677,1.342732,2.864540
172.874737,1.392123,2.789453
173.076677,1.349234,2.830734
173.277676,1.291920,2.883827
173.473679,1.238991,2.952917
173.673676,1.187215,3.009893
173.873693,1.141574,3.054408
174.078721,1.118530,3.093554
174.274678,1.102859,3.078492
174.474775,1.111231,3.054543
174.674710,1.151948,3.042419
174.874691,1.188843,2.986263
175.078697,1.254015,2.945812
175.274682,1.297796,2.879195
175.473665,1.349429,2.841096
175.674655,1.369759,2.793812
175.874668,1.395145,2.776283
176.077659,1.404483,2.758984
176.274648,1.404768,2.763397
181.815777,1.397072,2.765885
182.016739,1.351254,2.814610
182.218725,1.286577,2.904352
182.414763,1.215735,2.976190
182.616723,1.144409,3.069190
182.815719,1.087860,3.115358
183.015791,1.066939,3.141578
183.219733,1.057372,3.135514
183.414769,1.087171,3.112418
183.614719,1.135072,3.065843
183.814733,1.195752,2.992605
184.014779,1.264872,2.916478
184.219737,1.346629,2.845319
184.414770,1.396505,2.771082
184.614744,1.442288,2.734845
184.814715,1.471488,2.714586
185.014749,1.480465,2.703120
185.218745,1.455515,2.719311
190.713825,1.434329,2.748349
190.914832,1.408610,2.774483
191.116777,1.348347,2.837768
191.317814,1.273491,2.914622
191.513805,1.205550,2.995106
191.712799,1.155905,3.050569
191.912781,1.103349,3.106933
192.112792,1.076384,3.136376
192.313810,1.074327,3.147558
192.513780,1.094918,3.109149
192.713784,1.137540,3.061486
192.913796,1.194894,3.016672
193.112787,1.252186,2.944908
193.313822,1.325889,2.875543
193.513805,1.374645,2.818514
193.713781,1.425341,2.773126
193.913783,1.452786,2.741510
194.112814,1.454455,2.722114
199.627875,1.388594,2.770935
199.828835,1.412134,2.769638
200.030850,1.393147,2.782502
200.226853,1.369904,2.815698
200.428842,1.317620,2.868520
200.627932,1.259761,2.912050
200.827843,1.202728,2.966578
201.027874,1.166303,3.018085
201.227867,1.133663,3.056022
201.427887,1.119251,3.069282
201.626872,1.125863,3.083050
201.826880,1.136295,3.051128
202.026847,1.164555,3.029291
202.226840,1.208081,2.985217
202.426842,1.250788,2.936120
202.626851,1.301038,2.891672
202.826864,1.344336,2.851706
203.026871,1.371802,2.813986
208.525850,1.279873,2.911159
208.726796,1.317864,2.877731
208.928812,1.355800,2.827051
209.124818,1.378943,2.800681
209.326829,1.396960,2.790662
209.525796,1.384626,2.796912
209.725802,1.354784,2.825522
209.925805,1.315819,2.865504
210.125859,1.280092,2.906056
210.325927,1.233729,2.950423
210.525877,1.189564,3.004349
210.725880,1.165631,3.032757
210.925943,1.139707,3.056261
211.125939,1.131707,3.062610
211.325931,1.140475,3.057034
211.525919,1.162497,3.037079
211.725913,1.192935,3.007478
211.925890,1.227739,2.966188
217.439980,1.147668,3.033580
217.641955,1.192912,2.989479
217.842948,1.256382,2.923751
218.038938,1.318662,2.862408
218.240958,1.373501,2.789484
218.439944,1.419302,2.745346
218.639965,1.441546,2.734753
218.839932,1.431012,2.732877
219.039973,1.402226,2.755301
219.239978,1.350613,2.813435
219.439974,1.301350,2.872493
219.639962,1.244091,2.930240
219.839960,1.193426,3.000455
220.039967,1.144852,3.046896
220.239943,1.104144,3.084297
220.440003,1.083185,3.087764
220.639998,1.085351,3.099864
220.839938,1.107733,3.084640
226.368108,1.094105,3.085711
226.569029,1.155861,3.037475
226.771010,1.214349,2.939860
226.972052,1.289331,2.886285
227.167059,1.360092,2.809680
227.367032,1.422281,2.754297
227.571014,1.458269,2.714380
227.768008,1.454138,2.714630
227.968021,1.448168,2.742198
228.168021,1.383725,2.791250
228.368045,1.322301,2.859164
228.571031,1.258566,2.929849
228.767023,1.186362,2.999845
228.967039,1.132210,3.060725
229.167043,1.088722,3.101703
229.367042,1.070778,3.134660
229.571030,1.061950,3.136498
229.767021,1.073886,3.121277
235.278124,1.147519,3.046849
235.479085,1.177791,3.009537
235.680077,1.221015,2.937416
235.882077,1.273146,2.886742
236.078110,1.327677,2.842299
236.278068,1.370325,2.797901
236.480129,1.386139,2.764595
236.677083,1.389567,2.772361
236.877089,1.369718,2.787645
237.077071,1.339257,2.822309
237.277066,1.288848,2.860494
237.480085,1.246781,2.910585
237.677073,1.219086,2.965472
237.877086,1.159230,3.003678
238.078071,1.131237,3.051217
238.278103,1.109155,3.066808
238.480116,1.096904,3.071710
238.678091,1.112958,3.074012
244.192199,1.147129,3.034939
244.393191,1.183100,2.973982
244.595163,1.249504,2.912535
244.791144,1.296590,2.853505
244.991156,1.354365,2.800537
245.191149,1.391856,2.771320
245.394198,1.414147,2.755979
245.591164,1.397447,2.756890
245.791160,1.372029,2.786790
245.991201,1.334501,2.826155
246.191200,1.278248,2.907088
246.394198,1.232536,2.958165
246.591186,1.188389,3.011215
246.791162,1.143784,3.060774
246.991167,1.104024,3.073766
247.191175,1.096233,3.097360
247.394196,1.098111,3.097396
247.591161,1.106915,3.077290
253.105284,1.102258,3.082831
253.307276,1.144949,3.036972
253.508237,1.208576,2.983200
253.710228,1.288141,2.899157
253.906228,1.352940,2.834342
254.105266,1.400622,2.767433
254.304280,1.421978,2.731561
254.504241,1.432144,2.716609
254.705234,1.431334,2.739010
254.905232,1.383484,2.776434
255.105240,1.343279,2.831586
255.306371,1.272234,2.897827
255.504284,1.223061,2.956992
255.705291,1.164791,3.020804
255.905282,1.114158,3.054607
256.105239,1.082106,3.090065
256.305346,1.071804,3.107290
256.504285,1.079934,3.117049
262.004367,1.241418,2.933564
262.205334,1.294981,2.870208
262.407361,1.350133,2.820651
262.608328,1.385268,2.779926
262.804321,1.420399,2.766349
263.003319,1.426775,2.765277
263.203355,1.399309,2.781805
263.403356,1.370626,2.826164
263.604326,1.309252,2.870587
263.804318,1.261666,2.939946
264.004354,1.199545,2.981532
264.204347,1.168108,3.039517
264.403354,1.130888,3.076171
264.604325,1.114172,3.080901
264.804332,1.107539,3.082104
265.004336,1.122418,3.065476
265.204329,1.145153,3.031061
265.408363,1.184668,2.992805
270.902460,1.336003,2.846900
271.103443,1.347630,2.822935
271.305435,1.351566,2.820413
271.506450,1.343031,2.833602
271.702441,1.312992,2.853818
271.901440,1.282442,2.875207
272.101432,1.259441,2.919760
272.302491,1.231660,2.955722
272.501437,1.196769,2.972299
272.701431,1.176293,3.000862
272.901430,1.167730,3.012662
273.101434,1.161470,3.004890
273.302519,1.180618,3.009532
273.501470,1.186296,2.990127
273.701451,1.213003,2.950715
273.901448,1.243260,2.925632
274.101492,1.266081,2.904571
274.302484,1.296280,2.873080
279.831541,1.327510,2.827480
280.033531,1.308224,2.862981
280.234512,1.267139,2.911620
280.430542,1.211862,2.957354
280.632543,1.190505,3.008701
280.830522,1.157095,3.035232
281.030515,1.146871,3.051782
281.232524,1.143585,3.034325
281.430676,1.153117,3.015128
281.630567,1.186592,2.992282
281.830538,1.228677,2.958287
