time_s,in0_v,in1_v
73.688284,0.516677,0.796681
73.887800,0.517567,0.798423
74.088325,0.516318,0.796510
74.287835,0.516349,0.796338
74.488367,0.516820,0.795963
74.687843,0.518131,0.798332
74.888327,0.518076,0.797726
75.087798,0.518127,0.797294
75.288293,0.518486,0.797095
75.487770,0.519678,0.796863
75.688301,0.519308,0.795484
75.887784,0.520180,0.796180
76.088287,0.519359,0.796332
76.287864,0.520247,0.796112
76.488387,0.520451,0.794860
76.687908,0.521183,0.793267
76.888440,0.520812,0.794059
77.087966,0.521825,0.795097
77.288498,0.520825,0.794101
77.488030,0.521684,0.793951
77.688561,0.521071,0.793645
77.888070,0.521742,0.794036
78.088619,0.520859,0.793554
78.288149,0.521225,0.794128
78.487662,0.521738,0.791635
78.688156,0.521016,0.794628
78.887764,0.522553,0.794116
79.088292,0.521542,0.794109
79.287829,0.522602,0.794327
79.488369,0.521297,0.794380
79.687911,0.522742,0.794160
79.888454,0.521194,0.794576
80.087992,0.522343,0.794229
80.288526,0.521341,0.794616
80.488058,0.522632,0.794317
80.688597,0.521210,0.794250
80.888140,0.522697,0.794254
81.087675,0.524022,0.794068
81.288221,0.521645,0.793376
81.487765,0.523794,0.792573
81.688294,0.522374,0.793732
81.887804,0.523998,0.794274
82.088312,0.522437,0.794026
82.287856,0.524267,0.794098
82.488341,0.522957,0.794358
82.687881,0.524513,0.794034
82.888414,0.523067,0.794456
83.087953,0.523553,0.793267
83.288489,0.522254,0.793546
83.488033,0.524219,0.792473
83.688523,0.523105,0.794387
83.888025,0.524669,0.794419
84.088524,0.523341,0.794483
84.288834,0.525302,0.794854
84.488616,0.522929,0.793904
84.688143,0.525109,0.794777
84.887685,0.526189,0.794554
85.088238,0.524928,0.794033
85.287790,0.526074,0.794313
85.488343,0.524600,0.793984
85.687885,0.525992,0.795896
85.888507,0.525141,0.794261
86.088029,0.525998,0.794088
86.288564,0.524634,0.794218
86.488113,0.525771,0.794120
86.688690,0.524207,0.794239
86.888221,0.525674,0.793771
87.087764,0.526586,0.793653
87.288304,0.525508,0.793994
87.487845,0.526451,0.793385
87.688407,0.524951,0.792323
87.887906,0.526879,0.794703
88.088394,0.525987,0.794488
88.287897,0.526927,0.794341
88.488390,0.525757,0.793740
88.687894,0.526012,0.794736
88.888426,0.525428,0.796056
89.087929,0.525943,0.795991
89.288430,0.524692,0.794833
89.487972,0.526735,0.795795
89.688506,0.525642,0.795584
89.888042,0.526374,0.795733
90.088570,0.524918,0.794583
90.288116,0.526227,0.794319
90.488617,0.525256,0.795715
90.688111,0.526607,0.796332
90.888604,0.525850,0.796455
91.088103,0.526726,0.796329
91.288602,0.525813,0.796444
91.488150,0.527325,0.796164
91.687658,0.528017,0.797405
91.888169,0.526578,0.796650
92.087683,0.528136,0.799218
92.288245,0.527146,0.796673
92.487775,0.527956,0.796583
92.688299,0.527089,0.796823
92.887813,0.528367,0.797984
93.088365,0.528689,0.794770
93.287895,0.528910,0.797974
93.488420,0.527569,0.796275
93.687939,0.527915,0.797094
93.888468,0.527039,0.795445
94.087964,0.528134,0.796496
94.288417,0.527987,0.797267
94.487882,0.529100,0.799384
94.688388,0.528561,0.797466
94.887921,0.529934,0.798515
95.088455,0.528461,0.797706
95.287992,0.529738,0.799667
95.488529,0.528621,0.797665
95.688059,0.529686,0.797995
95.888573,0.528985,0.798167
96.088081,0.530349,0.799180
96.288608,0.528695,0.796809
96.488083,0.530376,0.800061
96.688586,0.529175,0.797628
96.888608,0.530455,0.800606
97.088633,0.529357,0.798883
97.288139,0.530341,0.801590
97.487632,0.531435,0.801202
97.688124,0.529789,0.799846
97.888604,0.530237,0.798312
98.088122,0.532576,0.797663
98.288648,0.531575,0.797868
98.488260,0.532251,0.797838
98.687798,0.533635,0.799440
98.888359,0.532209,0.798743
99.087900,0.533317,0.799216
99.288426,0.532200,0.798237
99.487963,0.533317,0.800968
99.688500,0.531847,0.798085
99.888009,0.533265,0.799272
100.088525,0.531601,0.797149
100.288060,0.534203,0.795934
100.488589,0.532071,0.796841
100.688083,0.533326,0.799843
100.888556,0.532633,0.799157
101.088058,0.533713,0.799772
101.288583,0.532970,0.799042
101.488074,0.533823,0.800119
101.688587,0.533010,0.798994
101.888098,0.532788,0.799331
102.088621,0.533699,0.799388
102.288133,0.534384,0.800803
102.487467,0.534093,0.801213
102.689766,0.533821,0.802537
102.888516,0.533922,0.800973
103.088044,0.534064,0.801080
103.288576,0.533872,0.800098
103.488049,0.534273,0.801666
103.688554,0.534019,0.800849
103.888025,0.534279,0.802192
104.088487,0.535001,0.800739
104.287984,0.534740,0.800400
104.488463,0.534693,0.800051
104.688407,0.535214,0.800420
104.887881,0.535495,0.801464
105.088412,0.534880,0.799773
105.287938,0.534675,0.800388
105.488444,0.534526,0.799202
105.687992,0.535495,0.800978
105.888501,0.535194,0.800502
106.088000,0.535196,0.801752
106.288557,0.534839,0.801497
106.488047,0.535396,0.801622
106.688557,0.535457,0.801100
106.888064,0.535466,0.802263
107.088590,0.534863,0.801133
107.288107,0.535159,0.801659
107.488669,0.535418,0.800868
107.688195,0.535526,0.802437
107.887733,0.535694,0.803425
108.088261,0.535664,0.801875
108.287799,0.535496,0.803283
108.488357,0.535460,0.801723
108.687894,0.535505,0.803704
108.888602,0.535196,0.801975
109.088053,0.535439,0.803730
109.288580,0.535492,0.802605
109.488066,0.535355,0.804628
109.688592,0.534750,0.801973
109.888112,0.535043,0.803283
110.088610,0.535431,0.802881
110.288097,0.535776,0.804435
110.488600,0.535085,0.803800
110.688142,0.535434,0.804760
110.887673,0.535459,0.805248
111.088204,0.535552,0.804143
111.287742,0.535201,0.804584
111.488276,0.535792,0.804530
111.687882,0.534957,0.806844
111.888402,0.535563,0.804378
112.087939,0.534296,0.803470
112.288462,0.533900,0.802727
112.487991,0.534376,0.803124
