time_s,in0_v,in1_v
244.821434,1.401484,2.804649
245.021410,1.439787,2.773328
245.221430,1.437813,2.758914
245.421435,1.435970,2.771397
245.621507,1.411222,2.804019
245.821487,1.356617,2.847057
246.021481,1.315837,2.913658
246.221472,1.257863,2.972073
246.421496,1.200490,3.027985
246.621507,1.158596,3.081189
246.821531,1.124115,3.105477
252.332796,1.094941,3.133220
252.534762,1.077976,3.143075
252.735759,1.094168,3.150978
252.931764,1.136543,3.107992
253.131750,1.192952,3.066784
253.331754,1.264094,2.965237
253.535754,1.338986,2.886472
253.732777,1.404329,2.824633
253.932790,1.442167,2.775724
254.132787,1.470015,2.736391
254.332783,1.483680,2.726498
254.535792,1.460662,2.758276
254.731819,1.410600,2.796719
254.931851,1.363970,2.850189
255.131835,1.295852,2.926232
255.331833,1.240224,2.993203
255.535830,1.176814,3.059164
255.731845,1.131696,3.102704
261.247135,1.154428,3.109511
261.448078,1.177838,3.078218
261.650091,1.226611,3.013952
261.846132,1.285865,2.941998
262.046121,1.345536,2.876161
262.246118,1.403235,2.835340
262.450132,1.424094,2.779456
262.647144,1.454959,2.774549
262.847160,1.454392,2.785150
263.047171,1.417067,2.815117
263.247152,1.377655,2.871309
263.450196,1.316338,2.920840
263.647165,1.260769,2.976751
263.847184,1.206120,3.033592
264.047188,1.176806,3.077458
264.247189,1.151146,3.111525
264.450190,1.124322,3.113807
264.647204,1.133662,3.126428
270.146483,1.301391,2.941936
270.347443,1.326447,2.895659
270.548436,1.354257,2.856538
270.750448,1.377296,2.837822
270.946452,1.383047,2.828012
271.146453,1.382169,2.843143
271.349463,1.357404,2.866675
271.546481,1.318894,2.898815
271.746479,1.286488,2.941778
271.945493,1.238582,2.980662
272.145497,1.221806,3.026570
272.349508,1.192378,3.045488
272.545512,1.175288,3.057102
272.745539,1.165901,3.053472
272.945528,1.174706,3.047012
273.145535,1.200971,3.020329
273.349540,1.225101,2.997688
273.545559,1.256053,2.956775
279.061845,1.424627,2.799539
279.262809,1.409726,2.793679
279.464795,1.399348,2.819473
279.665826,1.366665,2.864123
279.860845,1.318884,2.904622
280.060837,1.265312,2.955310
280.263833,1.208301,3.017803
280.460831,1.173094,3.063730
280.660848,1.149609,3.088645
280.860878,1.139187,3.098779
281.060883,1.152744,3.083643
281.263877,1.170423,3.054263
281.460878,1.211699,3.020621
