orientation,line_id,window_id,fixed_angle_deg,moving_paddle,move_direction,piezo_direction,p1_start_deg,p1_end_deg,p1_mean_deg,p1_min_deg,p1_max_deg,p2_start_deg,p2_end_deg,p2_mean_deg,p2_min_deg,p2_max_deg,commanded_speed_deg_s,actual_span_deg,actual_speed_deg_s,samples,diff_amplitude_v,score,in0_amplitude_v,in1_amplitude_v,mean_sum_v
horizontal,2,2,21.0,1,negative,down,142.35059760956173,125.37848605577689,134.12919749573135,125.37848605577689,142.35059760956173,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.972111553784842,4.849174729652812,14,0.3020378552852375,0.07086531655742206,0.1447733108744833,0.15997948569011844,4.1865211967582185
horizontal,2,3,21.0,1,negative,up,125.37848605577689,108.40637450199202,117.15708594194648,108.40637450199202,125.37848605577689,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.97211155378487,4.8491747296528205,14,0.3391651887629019,0.07958812647993124,0.1614919921436776,0.17767319661922443,4.1831940684788425
horizontal,2,4,21.0,1,negative,down,108.40637450199202,91.31474103585657,100.11667615253272,91.31474103585657,108.40637450199202,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,17.09163346613545,4.883323847467271,14,0.3529328426709085,0.08324492276433354,0.17000827288488307,0.1828156225070432,4.178285766841845
horizontal,2,5,21.0,1,negative,up,91.31474103585657,74.34262948207171,83.04211724530448,74.34262948207171,91.31474103585657,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.972111553784856,4.849174729652816,14,0.34144281856317193,0.08040085331305197,0.16395074806127263,0.17818557962457904,4.1791304591214224
horizontal,2,6,21.0,1,negative,down,74.34262948207171,57.84860557768924,66.24928856004553,57.84860557768924,74.34262948207171,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.494023904382473,4.712578258394992,14,0.2999518315423987,0.07050207951637688,0.14383574651732844,0.1581217770735368,4.17418139998131
horizontal,2,7,21.0,1,negative,up,57.13147410358565,40.63745019920319,49.08935685828116,40.63745019920319,57.13147410358565,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.494023904382466,4.7125782583949904,14,0.31040129656223636,0.07252720405421001,0.14732672938719704,0.1641649553967477,4.187180227554154
horizontal,2,8,21.0,1,negative,down,40.0398406374502,23.784860557768923,32.1172453044963,23.784860557768923,40.0398406374502,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.254980079681275,4.644280022766078,14,0.3178538796225814,0.07421453735746567,0.14921114926655377,0.1684738339593046,4.171069423015992
horizontal,2,9,21.0,1,negative,up,23.067729083665338,6.095617529880478,14.880478087649404,6.095617529880478,23.067729083665338,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.97211155378486,4.849174729652817,14,0.36420414363462683,0.08618817964850084,0.17620768639082451,0.1879964572438022,4.173247866679298
horizontal,3,1,41.0,1,positive,up,0.9561752988047808,17.92828685258964,9.177575412635173,0.9561752988047808,17.92828685258964,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,5.0,16.97211155378486,4.849174729652817,14,0.41225009285251135,0.09654677051575919,0.1958406884553101,0.21640940439720158,4.183572836039656
horizontal,3,2,41.0,1,positive,down,17.92828685258964,34.9003984063745,26.19237336368811,17.92828685258964,34.9003984063745,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,5.0,16.97211155378486,4.849174729652817,14,0.3982670773511131,0.09403233791944263,0.19354824340834664,0.20574703205178801,4.183005202580313
